word occurrence
diversas 3
locais 3
exceto 3
departamento 3
noroeste 3
sudoeste 3
formam 3
diversidade 3
selvagens 3
álvares 3
pinzón 3
étnicos 3
tordesilhas 3
fato 3
monarquia 3
regimes 3
média 3
nação 3
emergente 3
superpotência 3
compra 3
banco 3
criminalidade 3
unidas 3
brics 3
cplp 3
remotas 3
salvador 3
origem 3
paubrasil 3
madeira 3
terras 3
cruz 3
antiga 3
quais 3
indígena 3
esses 3
diferente 3
pereira 3
bahia 3
função 3
rei 3
mostrou 3
doenças 3
produto 3
demanda 3
ciclo 3
passado 3
xvii 3
tais 3
conflitos 3
abriu 3
colonos 3
só 3
portuguesas 3
acabou 3
manutenção 3
interna 3
controle 3
maria 3
trouxe 3
valores 3
comerciais 3
isso 3
estatuto 3
soldados 3
exercício 3
confederação 3
exercer 3
rebeliões 3
porém 3
diretas 3
voto 3
nível 3
relação 3
armada 3
candidato 3
daquele 3
apoio 3
intervenção 3
governadores 3
federais 3
lado 3
alemanha 3
vitória 3
democracia 3
quarta 3
oposição 3
sem 3
repressão 3
artistas 3
policiais 3
presos 3
operação 3
geral 3
atingiu 3
crescimento 3
natural 3
populares 3
sexta 3
plano 3
hiperinflação 3
sarney 3
impeachment 3
ministério 3
décadas 3
transição 3
muito 3
pandemia 3
covid 3
recebendo 3
resultado 3
semana 3
poderes 3
resposta 3
ocupa 3
leste 3
grosso 3
pará 3
classificação 3
topografia 3
temperado 3
florestas 3
estação 3
variações 3
bacia 3
possuem 3
anual 3
geralmente 3
milhão 3
metros 3
altas 3
menor 3
extensão 3
termos 3
cataratas 3
biodiversidade 3
ambientais 3
vida 3
patrimônio 3
pecuária 3
infraestrutura 3
conforme 3
nativa 3
centrooeste 3
belo 3
horizonte 3
campos 3
cidades 3
pardos 3
povos 3
descendentes 3
religiões 3
católica 3
apresenta 3
piauí 3
públicas 3
idiomas 3
comunicação 3
ameríndias 3
africanas 3
inglês 3
chegou 3
alemão 3
diversos 3
lista 3
esferas 3
judiciais 3
autoridades 3
legislativas 3
casos 3
obras 3
devem 3
entidades 3
podem 3
nelson 3
estaduais 3
efetivo 3
unidades 3
automóveis 3
estavam 3
dólares 3
sucesso 3
chamado 3
participação 3
viagens 3
sistemas 3
dados 3
cursos 3
movimentado 3
aeroporto 3
localizado 3
dessa 3
espacial 3
surgiu 3
sociedade 3
começou 3
assis 3
moderna 3
influências 3
festivais 3
pintura 3
portinari 3
barroco 3
romantismo 3
realismo 3
modernismo 3
academia 3
gêneros 3
fórmula 3
verão 3
histórico 2
clique 2
aqui 2
versão 2
armas 2
progresso 2
hino 2
gentílico 2
portuguêsa 2
presidencialista 2
pacheco 2
luís 2
formação 2
instituição 2
reconhecimento 2
novembro 2
densidade 2
ppc 2
trilhões 2
per 2
capita 2
moeda 2
horário 2
quinto 2
sétimo 2
fala 2
majoritariamente 2
lusófono 2
imigração 2
promulgada 2
litoral 2
faz 2
sulamericanos 2
chile 2
ultramarino 2
francês 2
oeste 2
arquipélagos 2
atol 2
rocas 2
noronha 2
trindade 2
martim 2
vaz 2
animais 2
ecossistemas 2
vastos 2
descoberto 2
expedição 2
liderada 2
teria 2
navegador 2
espanhol 2
yáñez 2
comando 2
habitada 2
ameríndios 2
milhares 2
rompido 2
tropas 2
francesas 2
bicameral 2
agora 2
longos 2
períodos 2
democraticamente 2
regional 2
oitavo 2
paridade 2
ambos 2
produtor 2
renda 2
parcela 2
mantém 2
notáveis 2
desigualdade 2
fundador 2
g 2
comunidade 2
americanos 2
etimologia 2
termo 2
origens 2
encontradas 2
antigos 2
derivado 2
designação 2
certa 2
ilha 2
novas 2
descobertas 2
registrado 2
estimase 2
tenham 2
compreende 2
compostas 2
destacam 2
inúmeros 2
tupi 2
decorrente 2
presença 2
essas 2
ações 2
bélicas 2
escala 2
liderança 2
status 2
conquistado 2
desembarque 2
seguro 2
tiradentes 2
condenado 2
morte 2
inconfidência 2
mineira 2
aplicação 2
jeanbaptiste 2
debret 2
transatlântico 2
chegar 2
atingir 2
iniciada 2
capitanias 2
tribos 2
nativas 2
tinham 2
rivais 2
meados 2
exportação 2
mercados 2
ocidental 2
começaram 2
trazidos 2
crescente 2
naquele 2
denominado 2
conhecidas 2
situa 2
atuais 2
potências 2
desse 2
coloniais 2
holandeses 2
pernambucana 2
exportações 2
bandeirantes 2
novos 2
monopólio 2
exploração 2
autonomia 2
fazendo 2
rainha 2
estabelecimento 2
primeiras 2
mantinha 2
conquista 2
tribunais 2
representantes 2
seis 2
criado 2
estabelecendo 2
monárquico 2
filho 2
alcântara 2
américo 2
desses 2
coroa 2
tentou 2
declarado 2
cisplatina 2
reconhecida 2
conhecido 2
recuperar 2
regencial 2
ocorreu 2
série 2
revolta 2
decorrentes 2
últimas 2
relativa 2
questão 2
pressão 2
efeitos 2
derrota 2
essa 2
financeiras 2
diretamente 2
expedicionária 2
feb 2
caráter 2
alfabetizados 2
neste 2
getúlio 2
companheiro 2
reformas 2
democráticas 2
feito 2
exceção 2
substituindo 2
apoiadores 2
comunista 2
ameaça 2
estipuladas 2
ditatorial 2
outra 2
tentativa 2
antecedentes 2
diplomáticas 2
navios 2
ele 2
deposto 2
posse 2
suicídio 2
kubitschek 2
permitiu 2
crises 2
sete 2
promulgação 2
esquerda 2
aqueles 2
setores 2
professores 2
próprios 2
auge 2
lentamente 2
desgaste 2
iniciou 2
guimarães 2
tancredo 2
neves 2
grave 2
vice 2
tornandose 2
inicial 2
deu 2
collor 2
posteriormente 2
sofreu 2
itamar 2
fhc 2
planos 2
pacífica 2
finalmente 2
dilma 2
junho 2
manifestações 2
hospital 2
âmbito 2
trabalhadores 2
pt 2
atingidos 2
amplamente 2
dia 2
mandatos 2
várias 2
engloba 2
relevo 2
geograficamente 2
rússia 2
canadá 2
